canonical_key,brand_name,product_line_name,line_category,mixing_ratio_default,developer_default_volume,processing_time_default_minutes,technical_defaults_json,region_or_market,apparent_status,parent_company
Paul Mitchell::The Demi::global,Paul Mitchell,Paul Mitchell The Demi,demi,1:1,10,12,"{""mixing_ratio"": ""1:1"", ""developer_volume"": 10, ""processing_time_minutes"": 12, ""raw"": {""default_mixing_ratio"": ""1:1 with Paul Mitchell Cream Developer"", ""developer_options"": [""Cream Developer 10 volume""], ""developer_strengths_if_stated"": ""10 volume"", ""processing_time_ranges"": ""5–20 minutes""}}",global,active,John Paul Mitchell Systems
Paul Mitchell::PM Shines::US,Paul Mitchell,PM Shines,demi,,,,,US,discontinued,John Paul Mitchell Systems
Paul Mitchell::Pop XG::global,Paul Mitchell,Pop XG,direct_dye,,,,,global,unclear,John Paul Mitchell Systems
Paul Mitchell::The Color 10 Minute::global,Paul Mitchell,Paul Mitchell The Color (10 Minute express permanent),permanent,,,,,global,unclear,John Paul Mitchell Systems
Paul Mitchell::Lighteners::global,Paul Mitchell,"Paul Mitchell Lighteners (e.g., Dual-Purpose Lightener, Skylight, Bond Rx)",lightener,,,,,global,unclear,John Paul Mitchell Systems
Pulp Riot::Semi-Permanent::US,Pulp Riot,Pulp Riot Semi-Permanent (Paint),direct_dye,,,,"{""mixing_ratio"": null, ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": null, ""developer_options"": [], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,active,L'Oréal
Pulp Riot::FACTION8::US,Pulp Riot,FACTION8,permanent,1:1,,35,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": 35, ""raw"": {""default_mixing_ratio"": ""1:1 standard FACTION8 color : Pulp Riot Developer; 1:2 for High Lift shades."", ""developer_options"": [""Pulp Riot Developer; volume selected from peroxide chart according to lift/deposit goal.""], ""developer_strengths_if_stated"": ""Peroxide chart referenced by manufacturer; specific volumes not enumerated on the captured official product page."", ""processing_time_ranges"": ""35 minutes standard; 45-55 minutes for High Lift shades.""}}",US,active,L'Oréal
Pulp Riot::High Speed Toner::US,Pulp Riot,High Speed Toners,toner,,,,,US,active,L'Oréal
Pulp Riot::Liquid Demi::US,Pulp Riot,Liquid Demi,demi,,,,,US,unclear,L'Oréal
Pulp Riot::Lighteners::US,Pulp Riot,Pulp Riot Lighteners,lightener,,,,,US,active,L'Oréal
Pulp Riot::Blank Canvas::US,Pulp Riot,Blank Canvas (Semi-Permanent Color Remover),lightener,,,,,US,active,L'Oréal
Davines::Mask with Vibrachrom::US,Davines,Mask with Vibrachrom,permanent,,,,,US,active,Davines Group (Davines S.p.A.)
Davines::A New Colour::US,Davines,A New Colour,permanent,,,,,US,active,Davines Group (Davines S.p.A.)
Davines::View::US,Davines,View,demi,,,,,US,active,Davines Group (Davines S.p.A.)
Davines::The Present Time::US,Davines,The Present Time,demi,,,,,US,active,Davines Group (Davines S.p.A.)
Davines::The Century of Light::US,Davines,The Century of Light,lightener,,,,,US,active,Davines Group (Davines S.p.A.)
Davines::Finest Pigments::US,Davines,Finest Pigments,direct_dye,,,,,US,active,Davines Group (Davines S.p.A.)
Framesi::Framcolor 2001::US,Framesi,Framcolor 2001,permanent,,,,,US,active,Framesi S.p.A.
Framesi::Framcolor 2001 Intense::global,Framesi,Framcolor 2001 Intense,permanent,,,,,global,active,Framesi S.p.A.
Framesi::Framcolor Glamour::US,Framesi,Framcolor Glamour,permanent,,,,,US,active,Framesi S.p.A.
Framesi::Framcolor Eclectic::US,Framesi,Framcolor Eclectic,demi,,,,,US,active,Framesi S.p.A.
Framesi::Framcolor Eclectic Care::US,Framesi,Framcolor Eclectic Care,permanent,,,,,US,active,Framesi S.p.A.
Framesi::Framcolor Eclectic 5D Color Gloss::global,Framesi,Framcolor Eclectic 5D Color Gloss,demi,,,,,global,active,Framesi S.p.A.
Framesi::Framcolor Pure Pigment Plus::global,Framesi,Framcolor Pure Pigment Plus,direct_dye,,,,,global,active,Framesi S.p.A.
Framesi::Decolor B::US,Framesi,Decolor B,lightener,,,,,US,active,Framesi S.p.A.
Framesi::Framcolor Futura::US,Framesi,Framcolor Futura,permanent,,,,,US,unclear,Framesi S.p.A.
Keune::Tinta Color::global,Keune,Tinta Color,permanent,,,,,global,active,Keune Haircosmetics
Keune::Semi Color::global,Keune,Semi Color,demi,,,,,global,active,Keune Haircosmetics
Keune::So Pure Color::global,Keune,So Pure Color,permanent,,,,,global,active,Keune Haircosmetics
Keune::Color Chameleon::global,Keune,Color Chameleon,direct_dye,,,,,global,active,Keune Haircosmetics
Keune::Ultimate Blonde::global,Keune,Ultimate Blonde,mixed_system,,,,,global,active,Keune Haircosmetics
Alfaparf Milano Professional::Evolution of the Color::US,Alfaparf Milano Professional,Evolution of the Color,permanent,,,,,US,active,Alfaparf Group (Beauty & Business S.p.A.)
Alfaparf Milano Professional::Evolution of the Color Shine Effect::global,Alfaparf Milano Professional,Evolution of the Color Shine Effect,permanent,,,,,global,active,Alfaparf Group (Beauty & Business S.p.A.)
Alfaparf Milano Professional::Color Wear::US,Alfaparf Milano Professional,Color Wear,demi,,,,,US,active,Alfaparf Group (Beauty & Business S.p.A.)
Alfaparf Milano Professional::Color Wear Gloss Toner::US,Alfaparf Milano Professional,Color Wear Gloss Toner,toner,,,,,US,active,Alfaparf Group (Beauty & Business S.p.A.)
Alfaparf Milano Professional::Pigments::US,Alfaparf Milano Professional,Pigments,mixed_system,,,,,US,active,Alfaparf Group (Beauty & Business S.p.A.)
Alfaparf Milano Professional::rEvolution::US,Alfaparf Milano Professional,rEvolution (rEvolution JC),direct_dye,,,,,US,active,Alfaparf Group (Beauty & Business S.p.A.)
Alfaparf Milano Professional::BB Bleach::US,Alfaparf Milano Professional,BB Bleach,lightener,,,,,US,active,Alfaparf Group (Beauty & Business S.p.A.)
Aveda::Full Spectrum Permanent::US,Aveda,Full Spectrum Permanent,permanent,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": [""aveda_natural_intense_mix_process: \""1:1\""""], ""developer_options"": [""aveda_natural_intense_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer_by_lift\"": [{\""lift_levels\"": 4, \""developer_volume\"": 40, \""processing_time_min\"": 45}, {\""lift_levels\"": 3, \""developer_volume\"": 30, \""processing_time_min\"": 40}, {\""lift_levels\"": 2, \""developer_volume\"": 20, \""processing_time_min\"": 30}, {\""lift_levels\"": 1, \""developer_volume\"": 10, \""processing_time_min\"": 20}, {\""lift_levels\"": \""0-1\"", \""developer_volume\"": 5, \""processing_time_min\"": 20}]}""], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,active,The Estée Lauder Companies
Aveda::Full Spectrum Deep::US,Aveda,Full Spectrum Deep,permanent,,,,,US,active,The Estée Lauder Companies
Aveda::Full Spectrum Demi+::US,Aveda,Full Spectrum Demi+,demi,,,,,US,active,The Estée Lauder Companies
Aveda::Full Spectrum Vibrants::US,Aveda,Full Spectrum Vibrants,semi,,,,,US,active,The Estée Lauder Companies
Aveda::Enlightenment Blonding (Enlightener)::US,Aveda,Enlightenment Blonding (Enlightener),mixed_system,,,,,US,active,The Estée Lauder Companies
L'Oréal Professionnel::Majirel::US,L'Oréal Professionnel,Majirel,permanent,1:1.5,20,35,"{""mixing_ratio"": ""1:1.5"", ""developer_volume"": 20, ""processing_time_minutes"": 35, ""raw"": {""default_mixing_ratio"": ""1:1.5"", ""developer_options"": [""Majicrème Developer""], ""developer_strengths_if_stated"": [""12.5-vol (3.75%)"", ""20-vol (6%)"", ""30-vol (9%)"", ""40-vol (12%) maximum""], ""processing_time_ranges"": [""35 minutes (Majirel / Majirel Cool Cover / Majirel Cool Inforced / Majirouge — printed as 'Development time: 35 minutes')"", ""50 minutes (Majirel High-Lift only — printed as 'Development time: 50 minutes' on 07/23 chart)""]}}",US,active,L'Oréal Groupe
L'Oréal Professionnel::Majirel High Lift::US,L'Oréal Professionnel,Majirel High Lift,permanent,,,,,US,active,L'Oréal Groupe
L'Oréal Professionnel::Majirel Cool Cover::US,L'Oréal Professionnel,Majirel Cool Cover,permanent,,,,,US,active,L'Oréal Groupe
L'Oréal Professionnel::iNOA::US,L'Oréal Professionnel,iNOA,permanent,,,,,US,active,L'Oréal Groupe
L'Oréal Professionnel::Dia Light::US,L'Oréal Professionnel,Dia Light,demi,1:1.5,6,11,"{""mixing_ratio"": ""1:1.5"", ""developer_volume"": 6, ""processing_time_minutes"": 11, ""raw"": {""default_mixing_ratio"": ""1:1.5"", ""developer_options"": [""Diactivateur Developer"", ""loreal_dia_refreshing_technique: {\""use_matching_dia_light_if\"": [\""INOA regrowth\"", \""LUO regrowth\""], \""use_dia_richesse_if\"": [\""Majirel regrowth\""], \""apply_to\"": \""faded mid-lengths and ends 20 minutes before end of permanent color development\"", \""diactivateur_options\"": {\""minimum_fading\"": \""warm lighter target shade with 6-vol\"", \""moderate_fading\"": \""warm target shade same level with 6-vol\"", \""maximum_fading\"": \""warm target shade same level with 9-vol\""}}""], ""developer_strengths_if_stated"": [""6-vol (1.8%)"", ""9-vol (2.7%)""], ""processing_time_ranges"": [""Flexible processing time: 2 to 20 minutes""]}}",US,active,L'Oréal Groupe
L'Oréal Professionnel::Dia Color::US,L'Oréal Professionnel,Dia Color,demi,,,,,US,active,L'Oréal Groupe
L'Oréal Professionnel::Dia Richesse::global,L'Oréal Professionnel,Dia Richesse,demi,,,,"{""mixing_ratio"": null, ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": null, ""developer_options"": null, ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",global,unclear,L'Oréal Groupe
L'Oréal Professionnel::Blond Studio::US,L'Oréal Professionnel,Blond Studio,lightener,,,,,US,active,L'Oréal Groupe
L'Oréal Professionnel::Colorful Hair::global,L'Oréal Professionnel,Colorful Hair (#COLORFULHAIR),direct_dye,,,,,global,unclear,L'Oréal Groupe
Rusk::Deepshine Permanent (Pure Pigments)::US,Rusk,Deepshine Permanent Pure Pigments Conditioning Cream Color,permanent,,,,,US,active,Beauty Quest Group
Rusk::Deepshine Gloss::US,Rusk,Deepshine Gloss,demi,,,,,US,active,Beauty Quest Group
Rusk::Deepshine Xpress Gloss::US,Rusk,Deepshine Xpress Gloss,demi,,,,,US,active,Beauty Quest Group
Rusk::RUSKin10::US,Rusk,RUSKin10 (RUSK IN 10),permanent,,,,,US,active,Beauty Quest Group
Rusk::Deepshine Direct::US,Rusk,Deepshine Direct,direct_dye,,,,,US,active,Beauty Quest Group
Rusk::Deepshine Lighteners::US,Rusk,Deepshine Lighteners,lightener,,,,,US,active,Beauty Quest Group
Moroccanoil Professional::Color Rhapsody::US,Moroccanoil Professional,Color Rhapsody Permanent Cream Color,permanent,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": [""moroccanoil_rhapsody_perm_mix_process: \""1:1\""""], ""developer_options"": [""moroccanoil_rhapsody_perm_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer_volumes\"": [5, 10, 20, 30, 40], \""processing_time_min_without_heat\"": [35, 45], \""processing_time_min_with_heat\"": [15, 25], \""gray_coverage_pct_max\"": 100}""], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,active,"Moroccanoil, Inc."
Moroccanoil Professional::Color Calypso::US,Moroccanoil Professional,Color Calypso Demi-Permanent (Gloss & Cream),demi,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": [""moroccanoil_calypso_gloss_mix_process: \""1:1\"""", ""moroccanoil_calypso_cream_mix_process: \""1:2\""""], ""developer_options"": [""moroccanoil_calypso_gloss_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer\"": \""Color Calypso Demi-Permanent Gloss Activator\"", \""processing_time_min_without_heat\"": 20, \""processing_time_min_with_heat\"": 15, \""gray_blending_pct_max\"": 60}"", ""moroccanoil_calypso_cream_mix_process: {\""mixing_ratio\"": \""1:2\"", \""developer_volumes\"": [5, 15], \""processing_time_min_without_heat\"": 25, \""processing_time_min_with_heat\"": 20, \""gray_blending_pct_max\"": 60}""], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,active,"Moroccanoil, Inc."
Moroccanoil Professional::Color Infusion::US,Moroccanoil Professional,Color Infusion Pure Color Mixer,mixed_system,,,,,US,active,"Moroccanoil, Inc."
Moroccanoil Professional::Blonde Voyage Lighteners::US,Moroccanoil Professional,"Blonde Voyage Lighteners (Powder, Clay, Cream)",lightener,,,,,US,active,"Moroccanoil, Inc."
Moroccanoil::Color Depositing Masks::US,Moroccanoil,Color Depositing Masks,semi,,,,,US,active,"Moroccanoil, Inc."
Danger Jones::Semi-Permanent Color::US,Danger Jones,Semi-Permanent Hair Color,semi,,,,,US,active,
Danger Jones::Gloss Toner with Bonder::US,Danger Jones,Gloss Toner with Bonder,toner,,,,,US,active,
Danger Jones::Artistic Toners::US,Danger Jones,Artistic Toners,toner,,,,,US,active,
Danger Jones::Lighteners::US,Danger Jones,Powder Lightener & Cream Lightener (with Bonding Complex),lightener,,,,,US,active,
Danger Jones::Epilogue::US,Danger Jones,Epilogue Permanent Hair Color,permanent,,,,,US,active,
Guy Tang #mydentity::Permanent Haircolor::US,Guy Tang #mydentity,Permanent Haircolor,permanent,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::Demi-Permanent Haircolor::US,Guy Tang #mydentity,Demi-Permanent Haircolor,demi,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::Demi-Permanent X-Press Toners::US,Guy Tang #mydentity,Demi-Permanent X-Press Toners,toner,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::Reflect Liquid Demi-Permanent::US,Guy Tang #mydentity,Reflect Liquid Demi-Permanent,demi,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::Super Power Direct Dye::US,Guy Tang #mydentity,Super Power Direct Dye,direct_dye,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::Direct Dye Vibrant Pastel::US,Guy Tang #mydentity,Direct Dye Vibrant / Pastel,direct_dye,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::Big9 Creme Lightener::US,Guy Tang #mydentity,Big9 Creme Lightener,lightener,,,,,US,active,Henkel Corporation
Guy Tang #mydentity::#Magnum8 Powder Lightener::US,Guy Tang #mydentity,#Magnum8 Powder Lightener,lightener,,,,,US,active,Henkel Corporation
Redken::Cover Fusion::US,Redken,Cover Fusion,,,,,"{""mixing_ratio"": null, ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": null, ""developer_options"": null, ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,,L'Oréal USA
Redken::Color Gels Oils::US,Redken,Color Gels Oils,,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": [""redken_color_gels_oils_mix_process: \""1:1\""""], ""developer_options"": [""redken_color_gels_oils_mix_process: {\""mixing_ratio\"": \""1:1\"", \""developer_options\"": [{\""volume\"": 10, \""max_lift_levels\"": 1, \""processing_time_min\"": 20}, {\""volume\"": 20, \""max_lift_levels\"": 2, \""processing_time_min\"": 30}, {\""volume\"": 30, \""max_lift_levels\"": 3, \""processing_time_min\"": 40}, {\""volume\"": 40, \""max_lift_levels\"": 3, \""processing_time_min\"": 45}], \""heat\"": false}""], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": null}}",US,,L'Oréal USA
Redken::Color Gels 10 Minute::US,Redken,Color Gels 10 Minute,,1:1,,,"{""mixing_ratio"": ""1:1"", ""developer_volume"": null, ""processing_time_minutes"": null, ""raw"": {""default_mixing_ratio"": [""redken_color_gels_10_minute: \""1:1\""""], ""developer_options"": [""redken_color_gels_10_minute: {\""mixing_ratio\"": \""1:1\"", \""developer_options\"": [{\""volume\"": 20, \""usage\"": \""minimal_lift_gray_coverage\""}, {\""volume\"": 30, \""usage\"": \""minimal_lift_gray_blending\""}], \""processing_time_min\"": [10, 15], \""heat\"": false}""], ""developer_strengths_if_stated"": null, ""processing_time_ranges"": [""redken_color_gels_10_minute: [10, 15]""]}}",US,,L'Oréal USA
